Organisation Name,Annual Revenue,Assigned To,Created Time,Start Financial Year,Commitment Number of Jobs,Registration Status,BBBEE ALign,Demand Shaping Package,Demand Shaping Start Date,Uncontactable Company,CRM Status,M & E Payment Made,Youth Uploaded,Phones Delivered,Extra Youth
You Know Digital,11877120,YES Administrator,22-02-2019 12:32:39,March,1,Registered,yes,Small Biz 1700,28-02-2019,no,On - Track August 2019,yes,NA,Yes,0
Hutech International Group (Pty) Ltd,0,Marc Ashton,22-02-2019 13:38:51,January,5,Registered,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
ECA CONSULTING (PTY) LTD,23547208,YES Administrator,22-02-2019 14:26:36,March,2,Registered,yes,NA,27-07-2018,no,NA,yes,NA,Yes,0
Logicalis SA,34846889,YES Administrator,22-02-2019 14:56:40,March,4,Registered,yes,Small Biz 1700,01-04-2019,no,On Track - July 2019,yes,NA,NA,4
Martin and East,915952426,YES Administrator,22-02-2019 16:04:23,March,33,Registered,yes,In-House 5000,01-02-2019,no,On - Track August 2019,no,NA,NA,0
Energy Construction Services (Pty) Ltd,21471509,YES Administrator,25-02-2019 10:17:08,April,2,Registered,yes,Small Biz 1700,01-04-2019,no,NA,yes,NA,Yes,0
OLW MEDIA,23000,YES Administrator,25-02-2019 11:06:38,February,3,Awaiting Pledge and Payment,yes,NA,NA,no,Potential Host,no,NA,NA,0
Robert Bosch (Pty) Ltd,2263069485,YES Administrator,25-02-2019 12:23:14,January,35,Registered,yes,NA,NA,no,NA,yes,NA,Yes,0
Efficient Financial Services (Pty) Ltd t/a Efficient Wealth,0,YES Administrator,25-02-2019 15:16:26,September,5,Awaiting Pledge and Payment,no,NA,NA,no,Archived,no,NA,NA,0
Turrito Networks,87324859,YES Administrator,25-02-2019 16:02:45,April,7,Registered,yes,In-House 5000,27-03-2019,no,NA,yes,NA,Yes,0
AU Traders & Refiners (Pty) Ltd,26000000000,YES Administrator,26-02-2019 03:16:47,March,30,Registered,yes,NA,28-02-2019,no,NA,yes,Yes,Yes,0
Letsema Consulting & Advisory,48259187,YES Administrator,26-02-2019 08:53:15,January,4,Registered,yes,Small Biz 1700,01-04-2019,no,NA,yes,NA,Yes,0
Insimbi Industrial Holdings,0,YES Administrator,26-02-2019 09:03:49,March,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
Coalmin Process Technologies,95643203,YES Administrator,26-02-2019 10:39:25,March,7,Registered,yes,In-House 5000,30-04-2019,no,On - Track August 2019,yes,NA,NA,0
GARLICKE AND BOUSFIELD INC,111067046,YES Administrator,26-02-2019 11:16:29,March,8,Awaiting Pledge and Payment,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
skhumbuzo,0,YES Administrator,26-02-2019 14:22:15,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Eversheds and Sutherland Inc,88084000,YES Administrator,27-02-2019 10:08:14,March,11,Registered,yes,NA,01-05-2019,no,NA,yes,NA,Yes,1
PLUS 94 RESEARCH (PTY) LTD,0,YES Administrator,27-02-2019 11:22:33,March,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
business,0,YES Administrator,27-02-2019 13:01:39,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Remote Metering Solutions (Pty) Ltd Archived,0,YES Administrator,27-02-2019 14:37:16,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Lulaway Holdings Pty Ltd,0,YES Administrator,27-02-2019 14:52:47,March,0,Registered,yes,Small Biz 1700,01-02-2019,no,NA,yes,NA,Yes,13
MVP Productions,0,YES Administrator,27-02-2019 15:50:45,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Bastion Graphics Pty Ltd,0,YES Administrator,27-02-2019 15:51:34,NA,0,Initial Signup,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
Remote Metering Solutions,0,YES Administrator,27-02-2019 16:03:59,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,Yes,0
gfd,0,YES Administrator,27-02-2019 16:41:59,March,5,Calculating for Non-BBBEE,no,NA,NA,no,Archived,no,NA,NA,0
BELL EQUIPMENT COMPANY SOUTH AFRICA,5047130058,YES Administrator,27-02-2019 16:56:55,January,66,Registered,yes,In-House 5000,01-12-2018,no,On Track,yes,Yes,Partial Delivery,0
REMOTE METERING SOLUTIONS (PTY) LTD,174087493,YES Administrator,28-02-2019 10:19:39,March,9,Registered,yes,In-House 5000,25-02-2019,no,NA,yes,NA,NA,0
Nasonti Management Services,6000000,YES Administrator,28-02-2019 12:17:57,January,3,Registered,yes,In-House Assisted 7000,01-04-2019,no,Archived,no,NA,NA,0
AmbiLube SA,42600000,YES Administrator,28-02-2019 12:22:58,March,2,Registered,yes,Host Placement - 9000,20-02-2019,no,On Track,yes,Yes,Yes,0
Master Plastics (PTY) LTD,504000000,YES Administrator,28-02-2019 14:02:52,March,23,Registered,yes,In-House 5000,26-02-2019,no,On Track,yes,NA,Yes,0
TNM Sustainability Governance and Risk,0,YES Administrator,28-02-2019 18:36:12,NA,0,Initial Signup,no,NA,NA,no,Potential Host,no,NA,NA,0
Skyriders Access Specialists (PTY) LTD,292562520,YES Administrator,01-03-2019 09:35:20,March,11,Registered,yes,In-House 5000,14-03-2019,no,NA,yes,NA,Yes,1
We Do Media,0,YES Administrator,01-03-2019 11:29:44,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Naspers Limited,43358129583,Lara Grieve,04-03-2019 12:00:21,April,179,Registered,yes,NA,01-08-2019,no,On - Track August 2019,no,NA,NA,0
MediaCom SA (Pty) Ltd,0,YES Administrator,04-03-2019 15:00:18,January,1,Calculating for Non-BBBEE,no,NA,NA,no,Archived,no,NA,NA,0
The Connected Retail Group,0,YES Administrator,04-03-2019 15:32:26,NA,0,Initial Signup,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
RYMCO (PTY) LTD,1113520000,YES Administrator,04-03-2019 15:39:56,February,48,Registered,yes,In-House 5000,01-04-2019,no,NA,yes,NA,Yes,0
Temporary Company TEST,0,YES Administrator,05-03-2019 04:55:17,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Mesong Poultry (Pty) Ltd,0,YES Administrator,05-03-2019 09:05:19,March,3,Confirming,no,NA,NA,no,Potential Host,no,NA,NA,0
Bell Equipment Sales South Africa,3059638836,YES Administrator,05-03-2019 10:25:36,January,30,Registered,yes,In-House 5000,01-12-2018,no,NA,yes,NA,Yes,0
Pack n Stack (Pty) Ltd,678026134,Lara Grieve,05-03-2019 12:52:19,March,83,Awaiting Pledge and Payment,yes,NA,NA,no,On Hold - Awaiting Strategy Sesison,no,NA,NA,0
Ince (Pty) Ltd,193826609,YES Administrator,06-03-2019 09:46:43,July,18,Registered,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
Babcock Plant Services,384241000,YES Administrator,06-03-2019 10:32:29,April,16,Registered,yes,Host Placement 9000,24-03-2019,no,NA,yes,Yes,Yes,2
JY GRAPHIC DESIGNER,0,YES Administrator,06-03-2019 10:54:40,April,1128,Confirming,no,NA,NA,no,Archived,no,NA,NA,0
Babcock Africa Services,3899162000,YES Administrator,06-03-2019 14:42:34,April,39,Registered,yes,Host Placement 9000,24-03-2019,no,NA,yes,Yes,Yes,2
Pendulum Electronics Electrical and Security,0,YES Administrator,06-03-2019 16:19:03,March,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
The RSA Group,49390751900,YES Administrator,07-03-2019 11:05:58,July,38,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
Comsol Networks,0,YES Administrator,07-03-2019 15:35:43,NA,0,Initial Signup,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
FedEx Express South Africa (pty) LTD,399436020,YES Administrator,08-03-2019 10:14:24,May,14,Registered,yes,In-House 5000,01-05-2019,no,On Track,yes,NA,Partial Delivery,6
Frankwen Forge (Pty) Ltd,201575386,YES Administrator,08-03-2019 11:11:26,June,20,Registered,yes,In-House 5000,01-02-2019,no,On Track,yes,NA,Yes,0
Nedbank Limited,46581000000,Justin Christie,08-03-2019 11:19:26,January,3315,Registered,yes,In-House 5000,01-05-2019,no,On - Track August 2019,yes,NA,Partial Delivery,25
Modena Consulting,4500000,YES Administrator,08-03-2019 12:30:34,February,2,Registered,yes,Small Biz 1700,02-06-2019,no,On - Track August 2019,no,NA,NA,0
TNT Express Worldwide SA (Pty) Ltd,79000000,YES Administrator,08-03-2019 20:50:47,June,7,Registered,yes,In-House 5000,01-05-2019,no,NA,yes,NA,Partial Delivery,13
Logwin Air And Ocean South Africa (Pty)Ltd,348393206,YES Administrator,11-03-2019 13:53:32,January,12,Registered,yes,In-House 5000,01-04-2019,no,NA,yes,NA,Yes,1
UHUNU Career Guidance and Learning non-profit Company,0,YES Administrator,11-03-2019 15:19:56,January,0,Calculating for Non-BBBEE,no,NA,NA,no,Archived,no,NA,NA,0
OneNet Group (Pty) Ltd,0,YES Administrator,12-03-2019 08:59:10,NA,0,Initial Signup,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
Innovise DX,15000000,YES Administrator,12-03-2019 11:42:09,October,1,Registered,yes,Small Biz 1700,01-04-2019,no,NA,yes,NA,Yes,0
ZeeRaTransformation Orocule Production Company,0,YES Administrator,12-03-2019 12:02:31,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
IPES-Utility Management Services,87324859,YES Administrator,12-03-2019 15:31:59,April,7,Registered,yes,In-House 5000,29-03-2019,no,On - Track August 2019,yes,NA,Partial Delivery,16
Oracle Corporation South Africa (Pty) Ltd,3110533291,YES Administrator,12-03-2019 17:40:18,June,34,Registered,yes,Host Placement 9000,31-05-2019,no,On Track,yes,NA,Yes,9
Sime Darby Hudson and Knight,0,YES Administrator,12-03-2019 17:40:57,NA,0,Initial Signup,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
Encapsulate Consulting,3800000,YES Administrator,13-03-2019 10:16:26,March,2,Registered,yes,NA,01-04-2019,no,On - Track August 2019,no,NA,NA,0
Medtronic Africa (Pty) Ltd,1791698553,YES Administrator,13-03-2019 10:44:08,May,30,Registered,yes,In-House - 5000,30-04-2019,no,On - Track August 2019,yes,NA,NA,0
Insimbi Alloy Supplies (Pty) Ltd,0,YES Administrator,14-03-2019 08:26:38,March,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
Not available,0,YES Administrator,14-03-2019 11:29:40,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Insimbi Aluminium Alloys (Pty) Ltd,0,YES Administrator,14-03-2019 14:04:18,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
WinWin International,27000000,YES Administrator,14-03-2019 14:46:39,March,1,Registered,yes,Small Biz 1700,18-03-2019,no,NA,yes,NA,Yes,1
TriAlpha Investment Management PTY LTD,84371599,YES Administrator,14-03-2019 15:07:09,April,7,Registered,yes,In-House - 5000,28-03-2019,no,On Track,yes,NA,Yes,0
RCL Foods Limited,0,YES Administrator,14-03-2019 18:35:38,July,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
FJ Flavour Factory,0,YES Administrator,15-03-2019 08:58:13,NA,0,Initial Signup,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
P Pro Engineering Pty Ltd,230576544,Marc Ashton,15-03-2019 09:42:02,July,10,Registered,yes,In-House 5000,01-04-2019,no,On - Track August 2019,yes,NA,NA,0
council for debt collectors,0,YES Administrator,15-03-2019 10:27:44,March,1,Registered,no,In-House Assisted 7000,01-05-2019,no,On Track - July 2019,yes,NA,NA,0
Thalenatsi Enterprises,0,YES Administrator,15-03-2019 10:49:14,March,0,Adding Business Details,no,NA,NA,no,Archived,no,NA,NA,0
Insimbi Aluminium Alloys ( Pty) Ltd,0,YES Administrator,15-03-2019 10:55:09,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Nsovo Construction,0,YES Administrator,15-03-2019 11:19:49,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Civil and Power Generation Projects (Pty) Ltd,741000000,YES Administrator,16-03-2019 14:15:26,February,30,Registered,yes,In-House 5000,01-04-2019,no,On - Track August 2019,yes,Yes,NA,0
Relebogile Mabotja Foundation,0,YES Administrator,18-03-2019 11:12:51,NA,0,Initial Signup,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
Colliery Training College,112762683,YES Administrator,18-03-2019 11:15:06,January,16,Registered,yes,In-House 5000,01-06-2019,no,On Track,yes,NA,Yes,0
FIS Systems South Africa (PTY) LTD,314822339,YES Administrator,18-03-2019 13:07:29,January,12,Registered,yes,In-House - 5000,01-06-2019,no,On Track,yes,NA,Yes,1
West End Claybrick (Pty) Ltd,0,YES Administrator,19-03-2019 09:08:23,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Bidvest Protea Coin (Pty) Ltd,3085000000,YES Administrator,20-03-2019 06:14:29,June,368,Registered,yes,In-House 5000,15-04-2019,no,On - Track August 2019,yes,Yes,Yes,25
Colvic Marketing and Engineering (PTY) LTD,148928557,YES Administrator,20-03-2019 10:07:03,March,8,Registered,yes,NA,01-07-2019,no,On - Track August 2019,no,NA,NA,0
Drift Supersand (Pty) Ltd,0,YES Administrator,20-03-2019 10:41:18,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
GPT Concrete Products South Africa (Pty) Ltd,134600452,YES Administrator,20-03-2019 12:00:54,April,12,Registered,yes,In-House 5000,25-05-2018,no,NA,yes,NA,NA,0
BDO Inc,0,YES Administrator,20-03-2019 13:53:23,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
BDO Advisory Services (PTY) Ltd,0,YES Administrator,22-03-2019 12:16:55,April,0,Calculating for BBBEE,yes,NA,NA,no,NA,no,NA,NA,0
CGI CREATIVE GRAPHICS INTERNATIONAL,96000000,YES Administrator,22-03-2019 14:38:32,March,7,Registered,yes,In-House 5000,23-04-2019,no,On - Track August 2019,yes,Yes,Yes,0
Tirisano travel,0,YES Administrator,22-03-2019 20:41:14,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
TRANSPACO ADMINISTRATION AND FINANCIAL SERVICES (PTY)LTD,1725113000,YES Administrator,25-03-2019 15:09:50,July,60,Registered,yes,NA,01-06-2019,no,On - Track August 2019,yes,NA,NA,0
MAN Automotive (Pty) Ltd,5021473144,YES Administrator,25-03-2019 15:30:58,January,28,Registered,yes,In-House 5000,02-05-2019,no,NA,yes,NA,Yes,12
KGI BPO (PTY) Ltd,0,YES Administrator,26-03-2019 09:06:58,March,10,Awaiting Pledge and Payment,no,NA,NA,no,On Track - July 2019,no,NA,NA,0
Geecom (Pty) Ltd,120000000,YES Administrator,26-03-2019 09:18:11,April,8,Registered,yes,In-House 5000,29-03-2019,no,NA,yes,NA,Yes,0
Youth Employment Service,0,YES Administrator,26-03-2019 09:35:44,April,18,Registered,no,In-House 5000,01-01-2019,no,Archived,no,NA,Yes,0
Cash Processing Solutions Pty Ltd,68555049,YES Administrator,26-03-2019 13:07:20,March,6,Registered,yes,In-House 5000,01-04-2019,no,On Track,yes,Yes,Yes,3
Brother International SA (Pty)Ltd,401807331,YES Administrator,27-03-2019 09:04:32,April,14,Registered,yes,In-House 5000,04-03-2019,no,NA,yes,Yes,Yes,0
Guthrie Colananni Attorneys,0,YES Administrator,27-03-2019 09:13:54,NA,0,Initial Signup,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
Pro Optima Audit Services (Pty) Ltd,22000000,YES Administrator,27-03-2019 10:25:53,March,2,Awaiting Pledge and Payment,yes,NA,NA,no,Archived,no,NA,NA,0
UCL Company (Pty) Ltd,1334988960,YES Administrator,27-03-2019 12:13:28,April,19,Registered,yes,In-House 5000,08-04-2019,no,On - Track August 2019,yes,NA,Partial Delivery,3
AQRate (Pty) Ltd,0,YES Administrator,27-03-2019 13:26:32,March,3,Registered,no,NA,01-04-2019,no,On - Track August 2019,no,NA,NA,0
Environmental Resources Management South Africa (Pty) Ltd,211324917,YES Administrator,27-03-2019 20:47:03,April,10,Registered,yes,In-House 5000,25-03-2019,no,On Track,yes,NA,Yes,1
Groenewald Lubbe Inc,75935530,YES Administrator,28-03-2019 08:55:35,March,7,Registered,yes,In-House 5000,06-05-2019,no,NA,yes,NA,Yes,2
EMCO,0,YES Administrator,28-03-2019 11:29:04,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Dartcom Fibre Solutions (Pty) Ltd,355000000,YES Administrator,28-03-2019 14:02:34,April,13,Registered,yes,In-House - 5000,28-03-2019,no,NA,yes,NA,Yes,0
Coriant(Pty)LTD,273394038.5,YES Administrator,29-03-2019 12:52:18,April,22,Registered,yes,In-House 5000,04-03-2019,no,NA,yes,NA,NA,0
MOTLAITLAI PROJECTS - (PTY) LTD,0,YES Administrator,01-04-2019 11:31:12,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
International Hotel School Training (Pty) Ltd,67076892.359999999,YES Administrator,01-04-2019 12:40:43,January,6,Registered,yes,In-House 5000,01-12-2018,no,NA,yes,NA,Yes,0
MMT Inland (Pty) Ltd,50317000,YES Administrator,01-04-2019 15:13:17,July,6,Registered,yes,Host Placement 9000,01-07-2019,no,On - Track August 2019,yes,NA,Yes,0
Mbe Mwari Consultants Pty Ltd,0,YES Administrator,02-04-2019 12:39:58,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Faded Black Innovations,0,YES Administrator,02-04-2019 16:01:16,NA,0,Initial Signup,no,NA,NA,no,Potential Host,no,NA,NA,0
Ramsay Engineering (Pty) Ltd,0,YES Administrator,03-04-2019 11:26:12,April,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
LS Attorneys,5640949,YES Administrator,04-04-2019 16:20:01,July,1,Registered,yes,NA,01-05-2019,no,On - Track August 2019,no,NA,NA,0
Shadow Logistics,0,YES Administrator,04-04-2019 20:57:48,NA,0,Initial Signup,no,NA,NA,no,On Hold - Transport Sector,no,NA,NA,0
Bidvest waltons,0,YES Administrator,05-04-2019 14:53:24,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Thyme and Lime fuss free corporate catering,12000000,YES Administrator,08-04-2019 06:39:16,February,1,Registered,yes,Small Biz 1700,01-07-2019,no,On - Track August 2019,yes,NA,NA,0
SAINT-GOBAIN CONSTRUCTION PRODUCTS SOUTH AFRICA (PTY)LTD,1923426000,Tracey Czakan,08-04-2019 11:24:22,January,17,Registered,yes,In-House Assisted 7000,01-07-2019,no,NA,yes,NA,NA,3
Aviation Coordination Services,423040034,YES Administrator,08-04-2019 15:35:20,April,27,Registered,yes,In-House 5000,18-04-2019,no,NA,yes,Yes,Yes,3
Bongani test,0,YES Administrator,11-04-2019 15:43:31,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Elconvin Tech Pty Ltd,0,YES Administrator,11-04-2019 16:01:41,April,3,Confirming,no,NA,NA,no,Archived,no,NA,NA,0
Moloko Group,0,YES Administrator,12-04-2019 00:06:38,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Cell C Limited,15699.5,YES Administrator,12-04-2019 10:28:17,January,272,Registered,yes,NA,01-09-2019,no,On Track - July 2019,yes,NA,NA,53
Ciro Full Service Beverage Co,0,YES Administrator,12-04-2019 10:36:46,July,0,Calculating for BBBEE,yes,NA,NA,no,On Track - July 2019,no,NA,NA,0
Ramboll Africa Pty Ltd,2797731,YES Administrator,12-04-2019 13:29:36,January,1,Registered,yes,Small Biz 1700,24-04-2019,no,NA,yes,NA,Yes,1
PetroMan SA (Pty) Ltd,25096000,YES Administrator,12-04-2019 14:39:18,February,3,Registered,yes,Small Biz 1700,01-05-2019,no,On - Track August 2019,yes,NA,Yes,2
Centurion Truck and Bus,308375408,YES Administrator,14-04-2019 08:45:14,January,12,Registered,yes,In-House 5000,02-05-2019,no,NA,yes,Yes,Yes,2
Wika Instruments (Pty) Ltd,217022000,YES Administrator,15-04-2019 10:52:12,January,20,Registered,yes,In-House 5000,03-06-2019,no,NA,yes,NA,Yes,2
Sygnia Asset Management (Pty) Ltd,87421184,Justin Christie,15-04-2019 11:18:01,October,14,Registered,yes,Host Placement 9000,01-07-2019,no,On - Track August 2019,no,NA,NA,0
Khuphuka,0,YES Administrator,15-04-2019 12:38:14,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Hollard Life Assurance Co Ltd,0,T M,15-04-2019 13:02:43,July,138,Registered,no,Small Biz 1700,01-11-2018,no,On Track - July 2019,no,NA,Partial Delivery,0
XenTest (Pty) Ltd,0,YES Administrator,16-04-2019 10:48:35,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Quadrant Systems,20000000,YES Administrator,16-04-2019 15:00:20,March,4,Registered,yes,Small Biz - 1700,01-03-2019,no,On - Track August 2019,yes,NA,Yes,0
Amagembe Amahle trading in all aspect,0,YES Administrator,16-04-2019 19:25:18,NA,0,Initial Signup,no,NA,NA,no,Potential Host,no,NA,NA,0
Ahavah Consulting,0,YES Administrator,17-04-2019 08:04:41,February,0,Calculating for Non-BBBEE,no,NA,NA,no,Archived,no,NA,NA,0
Central Intelligence,0,YES Administrator,17-04-2019 11:43:15,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Jet Demolition (Pty) Ltd,256558135.25999999,YES Administrator,17-04-2019 15:19:29,January,23,Registered,yes,In-House 5000,05-03-2019,no,On Track,yes,NA,Yes,1
LANGAKHULU PTY,0,YES Administrator,17-04-2019 15:23:15,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Sibayeni Business Hub,0,YES Administrator,18-04-2019 07:13:28,April,2,Confirming,no,NA,NA,no,Potential Host,no,NA,NA,0
europ assistance,0,YES Administrator,18-04-2019 13:22:02,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Alteram Solutions,0,YES Administrator,18-04-2019 16:13:25,April,0,Calculating for BBBEE,yes,NA,NA,no,NA,no,NA,NA,0
Afroliveradio,0,YES Administrator,20-04-2019 11:56:22,February,0,Adding Business Details,yes,NA,NA,no,Potential Host,no,NA,NA,0
Rural Metro Emergency management Services,0,YES Administrator,23-04-2019 07:22:25,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Variate Technologies,0,YES Administrator,23-04-2019 12:18:10,February,0,Calculating for BBBEE,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
CHB Community Upliftment Centre,0,YES Administrator,24-04-2019 10:05:28,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Blue Turtle Technologies,585712142,Itumeleng Lentsoane,24-04-2019 13:06:48,March,15,Registered,yes,In-House 5000,07-01-2019,no,On Track - July 2019,yes,NA,NA,0
Handy Giants Contractors,0,YES Administrator,24-04-2019 14:10:26,NA,0,Initial Signup,no,NA,NA,no,Potential Host,no,NA,NA,0
Macebamahle Services,0,YES Administrator,24-04-2019 15:08:04,NA,0,Initial Signup,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
Siyaya,0,YES Administrator,24-04-2019 15:20:37,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Transman (Pty) Ltd,788092940,YES Administrator,24-04-2019 16:10:56,December,15,Registered,yes,In-House 5000,09-09-2019,no,On Track - July 2019,no,NA,NA,0
WOMEN OF AFRICA,0,YES Administrator,24-04-2019 16:56:03,NA,0,Initial Signup,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
Lucazi PTY LTD,79518378,Tracey Czakan,25-04-2019 09:59:42,March,11,Registered,yes,In-House 5000,06-05-2019,no,On Track - July 2019,yes,NA,Yes,3
PCSA Consulting Pty,87000000,YES Administrator,25-04-2019 12:05:03,April,7,Registered,yes,NA,30-07-2019,no,On - Track August 2019,no,NA,NA,0
Workforce Holdings Limited,3014446000,YES Administrator,25-04-2019 12:50:37,January,27,Registered,yes,In-House 5000,01-07-2019,no,On - Track August 2019,yes,NA,Yes,33
Optimum Learning Technologies,49127092,YES Administrator,25-04-2019 14:40:12,March,4,Registered,yes,NA,NA,no,NA,no,NA,NA,0
Mabayi DE,0,YES Administrator,25-04-2019 16:43:47,NA,0,Initial Signup,no,NA,NA,no,Potential Host,no,NA,NA,0
Tapps,0,YES Administrator,25-04-2019 17:37:09,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Havaks (Pty) Ltd,0,YES Administrator,26-04-2019 09:55:24,NA,0,Initial Signup,no,NA,NA,no,Potential Host,no,NA,NA,0
Alphne transport and logistics Pty ltd,0,YES Administrator,26-04-2019 14:54:45,July,0,Calculating for BBBEE,yes,NA,NA,no,Potential Host,no,NA,NA,0
HR Lithographic Printers CC T/A Process litho,194739390,YES Administrator,26-04-2019 15:35:55,June,12,Registered,yes,In-House 5000,01-06-2019,no,On - Track August 2019,yes,NA,Yes,0
emmyworld,0,YES Administrator,27-04-2019 13:49:19,May,10,Confirming,no,NA,NA,no,Potential Host,no,NA,NA,0
Harambee Communications,0,YES Administrator,27-04-2019 18:11:52,March,2,Registered,no,NA,01-07-2019,no,On - Track August 2019,no,NA,NA,0
ETANA REJALL TUKIO EVENTS,0,YES Administrator,29-04-2019 08:30:24,NA,0,Initial Signup,no,NA,NA,no,Potential Host,no,NA,NA,0
Tulisa Cables (PTY) LTD,352502691,YES Administrator,29-04-2019 08:57:15,April,13,Registered,yes,In-House 5000,01-08-2019,no,On Track - July 2019,yes,NA,NA,2
Bidvest Bank,966100000,YES Administrator,29-04-2019 11:44:08,July,86,Awaiting Payment,yes,NA,NA,no,Archived,no,NA,NA,0
Acorn Digital,0,YES Administrator,29-04-2019 11:49:35,May,0,Calculating for BBBEE,yes,NA,NA,no,Potential Host,no,NA,NA,0
Ironmongery Warehouse Africa (Pty) Ltd,92688176,YES Administrator,29-04-2019 14:10:04,March,7,Registered,yes,In-House Assist 7000,03-06-2019,no,Archived,yes,NA,NA,0
Kavisha,0,YES Administrator,29-04-2019 15:47:52,February,0,Adding Business Details,yes,NA,NA,no,Potential Host,no,NA,NA,0
OTIS Elevators (Pty) Ltd,593000000,YES Administrator,30-04-2019 08:40:33,October,30,Registered,yes,In-House 5000,01-07-2019,no,On - Track August 2019,no,NA,NA,0
Apha music and entertainment,0,YES Administrator,30-04-2019 12:29:35,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Autoboys Glass Services,239054478.43000001,YES Administrator,30-04-2019 14:42:08,July,15,Registered,yes,In-House 5000,01-05-2019,no,On Track,yes,Yes,Yes,0
Administration clerk,0,YES Administrator,01-05-2019 10:20:51,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
ICOLLEGE PTY Ltd,1039000000,YES Administrator,02-05-2019 11:14:01,March,23,Registered,yes,In-House 5000,27-05-2019,no,On - Track August 2019,yes,NA,Partial Delivery,0
Feyane Pty ltd,0,YES Administrator,02-05-2019 11:41:35,NA,0,Initial Signup,no,NA,NA,no,Potential Host,no,NA,NA,0
Stelera Man Wholesale and Trading,5000,YES Administrator,02-05-2019 12:13:03,July,526,Confirming,yes,NA,NA,no,Potential Host,no,NA,NA,0
MMQSMACE Consultancy (Pty) Ltd,77539617,Itumeleng Lentsoane,02-05-2019 12:29:10,November,7,Registered,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
SR ADVISORY AND TAX,0,YES Administrator,02-05-2019 15:18:41,February,0,Calculating for Non-BBBEE,no,NA,NA,no,NA,no,NA,NA,0
NETCOM TRADING,1500000,YES Administrator,02-05-2019 15:54:03,February,1,Registered,yes,NA,NA,no,Archived,no,NA,NA,0
